lmin,iters
0.1896524252209269,124
0.8676025500673584,13
0.29249582854026124,84
0.09685237307574682,280
0.8493783427822845,15
0.30226346078291577,78
0.07754441629544763,355
0.84671756854412,15
0.4070320498688369,54
0.15846859073283592,166
0.8313773809277475,16
0.22373711391351672,111
0.09293664334544102,299
0.859208516303929,14
0.29295591046099023,84
0.1783837714051233,134
0.8574954490008839,14
0.23858058067947288,103
0.06608149853091569,411
0.8398712683852625,16
0.24421574475616745,100
0.21537908352178078,115
0.8524991186989075,15
0.24656527294062086,104
0.13030501046872744,203
0.8512047796800519,14
0.26217443595609824,87
0.08990108781048509,301
0.8512648485530222,15
0.28356162309244237,88
0.0738048468438387,364
0.857432441905336,14
0.27291134143133544,89
0.07410864340330263,363
0.8622226067223389,14
0.26837943635340933,91
0.09718720753304058,279
0.861299220749097,14
0.24817006412970438,99
0.06590359656801062,415
0.8569084077834186,14
0.34501048983303206,66
0.06727196554360138,418
0.8552176496989319,15
0.2594043100486313,95
0.10217786331192036,271
0.863068571710496,14
0.3371739175486258,71
0.20590803921904213,125
0.8480244602034058,15
0.24419091296714934,102
0.07244024971058516,370
0.8492671989661915,14
0.22569438987374096,114
0.049004303539947336,579
0.8522835972913315,15
0.2723303679261461,88
0.17596369554142527,143
0.8529408532793359,15
0.27159825081307276,90
0.09574322646258827,273
0.8504297713054282,15
0.2635278481523865,93
0.18362962443380795,143
0.8520238650855599,15
0.2888939170733886,83
0.08700594087365061,318
0.861567163586666,14
0.30118087208675604,82
0.036229766926248325,789
0.8660675567556629,13
0.3137815121962244,77
0.05314314576184574,525
0.8554530483698066,15
0.27833217305871705,88
0.18734574026146966,130
0.8592463928799103,14
0.2512376931284215,99
0.04896465262306511,561
0.8407523052912664,16
0.25945684027794247,97
0.05711752323099744,472
0.8560242030949148,15
0.4284984111164336,50
0.0638550273775349,418
0.8381064577746047,16
0.2981988134820359,79
0.15289999500319784,172
0.8419148499157272,16
0.2861029616938573,85
0.07547010372804695,365
0.8572255467074794,14
0.2870191272897733,85
0.09681456128449827,284
0.8630338682216825,14
0.2361048721861259,107
0.17245678045297919,150
0.8527023069696658,15
0.29694075394563135,76
0.07855491644193063,320
0.8497365895430635,14
0.25648912048602346,96
0.1371548363000723,194
0.8495570130308396,15
0.34911214105265453,67
0.04840499070308274,576
0.8459946240747083,15
0.24634609745921326,104
0.12557357548895667,207
0.854156898216953,14
0.2743998768646775,91
0.05825013177607539,478
0.8474491279229937,15
0.320166395409494,69
0.1498268808464872,171
0.8553135476194889,15
0.2536858139807745,96
0.10182788922138995,273
0.857832797646243,14
0.24969625909690574,99
0.05502800225682368,471
0.8574272342486298,14
0.25963896078493354,97
0.15080994013249208,176
0.8604368654543445,14
0.3221220873353142,74
0.132675218508147,207
0.8511124123007884,15
0.27426712508622786,92
0.04446037403243225,627
0.8617085614689083,14
0.27243032045098614,92
0.06910503479981829,382
0.8563866481502116,14
0.21654098288649531,116
0.13072833290849223,202
0.8477333411133436,15
0.35244708183007456,63
0.048953856013050794,572
0.8168736110692559,17
0.36057165072681274,65
0.17529252620808722,151
0.8513991350594041,15
0.3440753851446985,67
0.04875094080568568,552
0.8565727274915418,14
0.26754374179404705,93
0.14431843740729,178
0.8508617142108308,15
0.2759039438097505,84
0.07920440580477717,337
0.8555424069596459,15
0.2946214037434995,83
0.051202023159376234,503
0.8445356296788673,14
0.23893315678656282,106
0.20356939212778177,110
0.8286329715463316,16
0.25365033948232774,99
0.1736739694078394,151
0.8397010185940135,15
0.34783688171851146,68
0.2516006729465442,96
0.8541809383060838,15
0.26906160560080705,92
0.08141131207387783,320
0.8687776506634763,13
0.2449100845549414,99
0.15238261959232882,161
0.8562791653281225,14
0.27133222860163997,88
0.050993497046096695,534
0.8419417018524935,15
0.2365091465400696,99
0.05048905432390295,537
0.8623625068259492,13
0.3306851704500061,71
0.13027486347158346,208
0.8466852344897321,15
0.24481150918228842,101
0.17717917720186577,147
0.8590543692789425,14
0.3690746318374045,62
0.18877789130167277,134
0.8415407838762724,15
0.2358399586960755,106
0.05100223205015337,523
0.8652504730879584,14
0.28177036933850796,86
0.11932297729420507,206
0.8658314259426209,14
0.3889049389296495,59
0.06203269619716199,420
0.8535237148916219,14
0.21030143521907105,121
0.05895644278508995,465
0.8454032383879418,15
